job_id,job_title,company,location,experience_required,salary,job_description,posted_date,job_url,source,scraped_date,experience_min,experience_max,experience_level,salary_min,salary_max,salary_mid,skills_extracted,skills_text,num_skills,cluster_id,cluster_label,pca_x,pca_y
job_0000,Data Analyst,Uber,Bangalore,2-5 years,9-17 Lacs PA,"Looking for a Data Analyst at Uber in Bangalore. The ideal candidate should have experience in Product Roadmap, Python. Key responsibilities include strategic planning.",2026-01-11,https://example.com/jobs/0,Synthetic,2026-02-11 01:46:24.928558,2.0,5.0,Mid Level,9.0,17.0,13.0,"['Product Roadmap', 'Python']","Product Roadmap, Python",2,3,"Cluster 3: planning, strategic",-0.12363082158624927,0.008576227481154866
job_0001,Product Manager,BCG,Bangalore,3-7 years,23-37 Lacs PA,"Looking for a Product Manager at BCG in Bengaluru. The ideal candidate should have experience in SQL, Stakeholder Management. Key responsibilities include driving growth.",2026-01-23,https://example.com/jobs/1,Synthetic,2026-02-11 01:46:24.928586,3.0,7.0,Mid Level,23.0,37.0,30.0,"['SQL', 'Stakeholder Management']","SQL, Stakeholder Management",2,0,"Cluster 0: growth, include driving",-0.1486833177058978,0.0861001377894677
job_0002,Product Manager,Tata Consultancy Services,Bangalore,7-9 years,23-36 Lacs PA,"Looking for a Product Manager at Tata Consultancy Services in Bengaluru. The ideal candidate should have experience in Amplitude, Machine Learning. Key responsibilities include product lifecycle management.",2026-01-20,https://example.com/jobs/2,Synthetic,2026-02-11 01:46:24.928599,7.0,9.0,Senior Level,23.0,36.0,29.5,"['Amplitude', 'Machine Learning']","Amplitude, Machine Learning",2,4,"Cluster 4: include product, product lifecycle",0.019910648306968082,0.31681393442770195
job_0003,Strategy Manager,Zomato,Pune,1-4 years,Not Disclosed,"Looking for a Strategy Manager at Zomato in Pune. The ideal candidate should have experience in Excel, Financial Modeling. Key responsibilities include data-driven decision making.",2026-01-30,https://example.com/jobs/3,Synthetic,2026-02-11 01:46:24.928612,1.0,4.0,Entry Level,,,,"['Excel', 'Financial Modeling', 'Strategy']","Excel, Financial Modeling, Strategy",3,1,"Cluster 1: financial, modeling",0.5041835492656697,-0.00025928005914589003
job_0004,Strategy Manager,BCG,Pune,5-7 years,Not Disclosed,"Looking for a Strategy Manager at BCG in Pune. The ideal candidate should have experience in NLP, A/B Testing. Key responsibilities include driving growth.",2026-01-23,https://example.com/jobs/4,Synthetic,2026-02-11 01:46:24.928622,5.0,7.0,Senior Level,,,,"['A/B Testing', 'NLP', 'Strategy']","A/B Testing, NLP, Strategy",3,0,"Cluster 0: growth, include driving",-0.08093966816034728,-0.16344585679905818
job_0005,Management Consultant,PhonePe,Gurgaon,4-7 years,24-39 Lacs PA,"Looking for a Management Consultant at PhonePe in Gurugram. The ideal candidate should have experience in JIRA, Communication. Key responsibilities include data-driven decision making.",2026-01-27,https://example.com/jobs/5,Synthetic,2026-02-11 01:46:24.928633,4.0,7.0,Mid Level,24.0,39.0,31.5,"['Communication', 'JIRA']","Communication, JIRA",2,2,"Cluster 2: driven decision, making",0.35202459381442164,0.15740888174892315
job_0006,Management Consultant,Flipkart,Pune,1-6 years,25-33 Lacs PA,"Looking for a Management Consultant at Flipkart in Pune. The ideal candidate should have experience in Communication, Leadership. Key responsibilities include data-driven decision making.",2026-01-23,https://example.com/jobs/6,Synthetic,2026-02-11 01:46:24.928645,1.0,6.0,Entry Level,25.0,33.0,29.0,"['Communication', 'Leadership']","Communication, Leadership",2,2,"Cluster 2: driven decision, making",0.30105441871828487,0.1511398460920224
job_0007,Business Intelligence Analyst,PhonePe,Hyderabad,8-13 years,Not Disclosed,"Looking for a Business Intelligence Analyst at PhonePe in Hyderabad. The ideal candidate should have experience in Google Analytics, User Research. Key responsibilities include product lifecycle management.",2026-01-05,https://example.com/jobs/7,Synthetic,2026-02-11 01:46:24.928655,8.0,13.0,Senior Level,,,,"['Google Analytics', 'User Research']","Google Analytics, User Research",2,4,"Cluster 4: include product, product lifecycle",-0.2482506309482456,0.37797013992285233
job_0008,Strategy Manager,Amazon,Bangalore,4-6 years,Not Disclosed,"Looking for a Strategy Manager at Amazon in Bangalore. The ideal candidate should have experience in Amplitude, Financial Modeling. Key responsibilities include data-driven decision making.",2026-01-02,https://example.com/jobs/8,Synthetic,2026-02-11 01:46:24.928668,4.0,6.0,Mid Level,,,,"['Amplitude', 'Financial Modeling', 'Strategy']","Amplitude, Financial Modeling, Strategy",3,1,"Cluster 1: financial, modeling",0.520056167516461,-0.06309997490983946
job_0009,Strategy Manager,Deloitte,Bangalore,7-11 years,Not Disclosed,"Looking for a Strategy Manager at Deloitte in Bengaluru. The ideal candidate should have experience in Financial Modeling, Figma. Key responsibilities include data-driven decision making.",2026-01-17,https://example.com/jobs/9,Synthetic,2026-02-11 01:46:24.928678,7.0,11.0,Senior Level,,,,"['Figma', 'Financial Modeling', 'Strategy']","Figma, Financial Modeling, Strategy",3,1,"Cluster 1: financial, modeling",0.5124677894177343,-0.061754764910814886
